symptoms,disease,food,rest_days,medications,nearby_hospitals
cold,headache,Common Cold,idly;apple juice;grapes;pineapple,3,paracetamol;antihistamines,City Hospital;General Clinic
fever,headache,Influenza,rice;orange juice;watermelon;banana,5,ibuprofen;oseltamivir,City Hospital;General Clinic
cough,chest pain,Bronchitis,porridge;lemon tea;honey;ginger,4,antibiotics;cough syrup,City Hospital;General Clinic
rash,itching,Allergy,oats;green tea;berries;carrots,2,antihistamines;calamine lotion,City Hospital;General Clinic
sore throat,fever,Tonsillitis,soup;mint tea;soft fruits;honey,3,antibiotics;pain relievers,City Hospital;General Clinic
runny nose,sneezing,Hay Fever,yogurt;herbal tea;pears;kiwi,2,antihistamines;nasal spray,City Hospital;General Clinic
nausea,vomiting,Food Poisoning,rice;toast;banana;electrolyte water,2,antibiotics;antiemetics,City Hospital;General Clinic
fatigue,muscle pain,Dengue Fever,broth;hydration drinks;papaya leaf extract,5,acetaminophen;electrolyte solution,City Hospital;General Clinic
joint pain,rash,Chikungunya,hydration drinks;ginger tea;fresh fruits,7,pain relievers;antipyretics,City Hospital;General Clinic
high fever,headache,Malaria,boiled vegetables;rice porridge;herbal tea,7,antimalarial drugs,City Hospital;General Clinic
abdominal pain,diarrhea,Gastroenteritis,boiled potatoes;white rice;toast,3,antibiotics;antiemetics,City Hospital;General Clinic
weight loss,cough,Tuberculosis,oatmeal;leafy greens;berries,10,antibiotics;antitubercular drugs,City Hospital;General Clinic
headache,dizziness,Migraine,whole grains;almonds;spinach,2,triptans;beta blockers,City Hospital;General Clinic
blurred vision,frequent urination,Diabetes,whole grains;vegetables;fruits,0,insulin;metformin,City Hospital;General Clinic
fatigue,weight gain,Hypothyroidism,lean meat;dairy;nuts,0,levothyroxine,City Hospital;General Clinic
shortness of breath,swelling,Heart Failure,whole grains;lean protein;fruits,0,ACE inhibitors;beta blockers,City Hospital;General Clinic
chest pain,shortness of breath,Angina,whole grains;fruits;vegetables,0,nitrates;beta blockers,City Hospital;General Clinic
cough,wheezing,Asthma,oats;broccoli;spinach,0,inhalers;leukotriene modifiers,City Hospital;General Clinic
fatigue,pain,Anemia,red meat;beans;spinach,0,iron supplements;vitamin B12,City Hospital;General Clinic
jaundice,abdominal pain,Hepatitis B,whole grains;fruits;vegetables,5,antiviral drugs;interferon,City Hospital;General Clinic
high blood pressure,headache,Hypertension,whole grains;leafy greens;berries,0,diuretics;ACE inhibitors,City Hospital;General Clinic
fatigue,weakness,Kidney Disease,low sodium foods;berries;fish,0,ACE inhibitors;diuretics,City Hospital;General Clinic
